"date_id";"date";"timestamp";"weekend";"day_of_week";"month";"month_day";"year";"week_starting_monday"
272;"2010-09-30";1285785000;"Weekday";"Thursday";"September";30;2010;"39"
273;"2010-10-01";1285871400;"Weekday";"Friday";"October";1;2010;"39"
274;"2010-10-02";1285957800;"Weekend";"Saturday";"October";2;2010;"39"
275;"2010-10-03";1286044200;"Weekend";"Sunday";"October";3;2010;"39"
276;"2010-10-04";1286130600;"Weekday";"Monday";"October";4;2010;"40"
277;"2010-10-05";1286217000;"Weekday";"Tuesday";"October";5;2010;"40"
278;"2010-10-06";1286303400;"Weekday";"Wednesday";"October";6;2010;"40"
279;"2010-10-07";1286389800;"Weekday";"Thursday";"October";7;2010;"40"
280;"2010-10-08";1286476200;"Weekday";"Friday";"October";8;2010;"40"
281;"2010-10-09";1286562600;"Weekend";"Saturday";"October";9;2010;"40"
282;"2010-10-10";1286649000;"Weekend";"Sunday";"October";10;2010;"40"
283;"2010-10-11";1286735400;"Weekday";"Monday";"October";11;2010;"41"
284;"2010-10-12";1286821800;"Weekday";"Tuesday";"October";12;2010;"41"
285;"2010-10-13";1286908200;"Weekday";"Wednesday";"October";13;2010;"41"
286;"2010-10-14";1286994600;"Weekday";"Thursday";"October";14;2010;"41"
287;"2010-10-15";1287081000;"Weekday";"Friday";"October";15;2010;"41"
288;"2010-10-16";1287167400;"Weekend";"Saturday";"October";16;2010;"41"
289;"2010-10-17";1287253800;"Weekend";"Sunday";"October";17;2010;"41"
290;"2010-10-18";1287340200;"Weekday";"Monday";"October";18;2010;"42"
291;"2010-10-19";1287426600;"Weekday";"Tuesday";"October";19;2010;"42"
292;"2010-10-20";1287513000;"Weekday";"Wednesday";"October";20;2010;"42"
293;"2010-10-21";1287599400;"Weekday";"Thursday";"October";21;2010;"42"
294;"2010-10-22";1287685800;"Weekday";"Friday";"October";22;2010;"42"
295;"2010-10-23";1287772200;"Weekend";"Saturday";"October";23;2010;"42"
296;"2010-10-24";1287858600;"Weekend";"Sunday";"October";24;2010;"42"
297;"2010-10-25";1287945000;"Weekday";"Monday";"October";25;2010;"43"
298;"2010-10-26";1288031400;"Weekday";"Tuesday";"October";26;2010;"43"
299;"2010-10-27";1288117800;"Weekday";"Wednesday";"October";27;2010;"43"
300;"2010-10-28";1288204200;"Weekday";"Thursday";"October";28;2010;"43"
301;"2010-10-29";1288290600;"Weekday";"Friday";"October";29;2010;"43"
302;"2010-10-30";1288377000;"Weekend";"Saturday";"October";30;2010;"43"
303;"2010-10-31";1288463400;"Weekend";"Sunday";"October";31;2010;"43"
304;"2010-11-01";1288549800;"Weekday";"Monday";"November";1;2010;"44"
305;"2010-11-02";1288636200;"Weekday";"Tuesday";"November";2;2010;"44"
306;"2010-11-03";1288722600;"Weekday";"Wednesday";"November";3;2010;"44"
307;"2010-11-04";1288809000;"Weekday";"Thursday";"November";4;2010;"44"
308;"2010-11-05";1288895400;"Weekday";"Friday";"November";5;2010;"44"
309;"2010-11-06";1288981800;"Weekend";"Saturday";"November";6;2010;"44"
310;"2010-11-07";1289068200;"Weekend";"Sunday";"November";7;2010;"44"
311;"2010-11-08";1289154600;"Weekday";"Monday";"November";8;2010;"45"
312;"2010-11-09";1289241000;"Weekday";"Tuesday";"November";9;2010;"45"
313;"2010-11-10";1289327400;"Weekday";"Wednesday";"November";10;2010;"45"
314;"2010-11-11";1289413800;"Weekday";"Thursday";"November";11;2010;"45"
315;"2010-11-12";1289500200;"Weekday";"Friday";"November";12;2010;"45"
316;"2010-11-13";1289586600;"Weekend";"Saturday";"November";13;2010;"45"
317;"2010-11-14";1289673000;"Weekend";"Sunday";"November";14;2010;"45"
318;"2010-11-15";1289759400;"Weekday";"Monday";"November";15;2010;"46"
319;"2010-11-16";1289845800;"Weekday";"Tuesday";"November";16;2010;"46"
320;"2010-11-17";1289932200;"Weekday";"Wednesday";"November";17;2010;"46"
321;"2010-11-18";1290018600;"Weekday";"Thursday";"November";18;2010;"46"
322;"2010-11-19";1290105000;"Weekday";"Friday";"November";19;2010;"46"
323;"2010-11-20";1290191400;"Weekend";"Saturday";"November";20;2010;"46"
324;"2010-11-21";1290277800;"Weekend";"Sunday";"November";21;2010;"46"
325;"2010-11-22";1290364200;"Weekday";"Monday";"November";22;2010;"47"
326;"2010-11-23";1290450600;"Weekday";"Tuesday";"November";23;2010;"47"
327;"2010-11-24";1290537000;"Weekday";"Wednesday";"November";24;2010;"47"
328;"2010-11-25";1290623400;"Weekday";"Thursday";"November";25;2010;"47"
329;"2010-11-26";1290709800;"Weekday";"Friday";"November";26;2010;"47"
330;"2010-11-27";1290796200;"Weekend";"Saturday";"November";27;2010;"47"
331;"2010-11-28";1290882600;"Weekend";"Sunday";"November";28;2010;"47"
332;"2010-11-29";1290969000;"Weekday";"Monday";"November";29;2010;"48"
333;"2010-11-30";1291055400;"Weekday";"Tuesday";"November";30;2010;"48"
334;"2010-12-01";1291141800;"Weekday";"Wednesday";"December";1;2010;"48"
335;"2010-12-02";1291228200;"Weekday";"Thursday";"December";2;2010;"48"
336;"2010-12-03";1291314600;"Weekday";"Friday";"December";3;2010;"48"
337;"2010-12-04";1291401000;"Weekend";"Saturday";"December";4;2010;"48"
338;"2010-12-05";1291487400;"Weekend";"Sunday";"December";5;2010;"48"
339;"2010-12-06";1291573800;"Weekday";"Monday";"December";6;2010;"49"
340;"2010-12-07";1291660200;"Weekday";"Tuesday";"December";7;2010;"49"
341;"2010-12-08";1291746600;"Weekday";"Wednesday";"December";8;2010;"49"
342;"2010-12-09";1291833000;"Weekday";"Thursday";"December";9;2010;"49"
343;"2010-12-10";1291919400;"Weekday";"Friday";"December";10;2010;"49"
344;"2010-12-11";1292005800;"Weekend";"Saturday";"December";11;2010;"49"
345;"2010-12-12";1292092200;"Weekend";"Sunday";"December";12;2010;"49"
346;"2010-12-13";1292178600;"Weekday";"Monday";"December";13;2010;"50"
347;"2010-12-14";1292265000;"Weekday";"Tuesday";"December";14;2010;"50"
348;"2010-12-15";1292351400;"Weekday";"Wednesday";"December";15;2010;"50"
349;"2010-12-16";1292437800;"Weekday";"Thursday";"December";16;2010;"50"
350;"2010-12-17";1292524200;"Weekday";"Friday";"December";17;2010;"50"
351;"2010-12-18";1292610600;"Weekend";"Saturday";"December";18;2010;"50"
